accepted,answer,link,question
Accepted,"Building on @Slaks answer ,In this particular case the item causing the , is indeed inside the method but that doesn't have to be true.  What if the , value was declared as a parameter instead?  Then the catch block would have access to the value which caused the , in the first place.  ,The , is raised when a particular place in the executable is determined to be un-runnable.  Instead of trying to pick a safe point in the method to throw the exception the JIT just abandons the method entirely.  There is little to be gained by trying to parse apart the good parts of the method from the bad ones.  It's much simpler to the JIT and developer to just declare the method altogether bad and move on from there.  ,Also note that it is not guaranteed that the , is even catchable in the calling method.  If the JIT decides to inline , inside of , then the exception will be thrown when , is called and hence uncatchable inside of there ",https://stackoverflow.com/questions/20412188/in-net-why-cant-a-badimageformatexception-be-caught-inside-the-method-that-th,"I'm not intrigued by the BadImageFormatException that is thrown when I declare a variable of a Visual C++ type that is defined inside a referenced Visual C++ assembly as much as I am intrigued by the fact that the exception is not caught by the catch clause of the try-catch statement immediately surrounding the variable declaration, but by the catch clause of the try-catch statement surrounding the method call to the method that declares the variable.,Can someone please explain this behavior?"
Accepted,"(Warning: Mammoth answer ahead. The part up to the first horizontal line makes a good tl;dr section, I suppose),I'm not sure if I qualify as Python guru... but I have a solid grasp on iteration in Python, so let's try :),First off: Afaik, LINQ queries are executed lazily - if that's the case, generator expressions are a closer Python concept (either way, list-, dict- and set comprehensions are conceptually just generator expressions fed to the list/dict/set constructor!).,Also, there is a conceptual difference: LINQ is for, as the name says, querying data structures. List-/dict-/set comprehensions are possible application of this (e.g. filtering and projecting the items of a list). So they are in fact less general (as we will see, many things built into LINQ are not built into them). Likewise, generator expressions are a way to formulate an one-time forward iterator in-place (I like to think of it as lambda for generator functions, only without an ugly, long keyword ;) ) and not a way to describe a complex query. They overlap, yes, but they are not identical. If you want all the power of LINQ in Python, you will have to write a fully-fledged generator. Or combine the numerous powerful generators built-in and in ,.,Now, Python counterparts for the LINQ capabilities Jon Skeet named:,Projections: ,Filtering: ,The closest thing would be,, I suppose.,Note that this will not iterate over the whole y for each x_item, it will only get the first match.,This is harder. Python doesn't have anonymous types, though they are trivial to do yourself if you don't mind messing with ,:,Then, we could do , to get a list of objects that are have , and , members with the respective values.
The right thing is usually feeding the results to the constructor of an approriate class, say, XY.,Now it gets hairy... there is no build-in way, afaik. But we can define it ourself if we need it:,Example:,This requires whatever we group by to be hashable, though. It's possible to avoid this, and I'll make a stab if there is public demand. But for now, I'm being lazy :),We can also just return an iterable of groups without the values we grouped by, by calling , on the result (of course we can feed , to , to get something we can index and iterate several times). But who knows if we won't need the group values...,Sorting needs special syntax? The build-in , works for iterables, too: , or ,. Sorted ascending by default, the keyword argument , gives descending order.,Alas, afaik sorting by multiple attributes is not that easy, especially when mixing ascending and descending. Hmm... topic for a recipe?,No, not possible in comprehensions or generator expressions - they are, as the name says, supposed to be expressions (and usually only span one or two lines). It's perfectly possible in generator function, though:,rewritten as generator with intermediate variable:,Flattening: ,Python definitely does no such thing. List expressions correspond one-to-one to accumulating a plain list in a (possibly nested) for-loop, generator expressions correspond one-to-one to a generator.
Given the , and , module, it would be possible , to write a library for converting a comprehension into e.g. an SQL query. But nobody cares to.",https://stackoverflow.com/questions/3925093/pythons-list-comprehension-vs-net-linq,"The following simple LINQ code ,can be translated into python using list comprehension as follows."
Accepted,"In the PHP section, make sure you're using , so that you're working with , numbers instead of ,.
Using subtraction on strings may yield incorrect results.,Example: ",https://stackoverflow.com/questions/15209003/inconsistent-loading-time-for-js-and-php,"I have a PHP script being loaded by JS through JQuery's ,.
I measured the execution time of the PHP script using:, There are no prepend/append PHP scripts.,In the JS , code, I have measured the execution time by:,However, when I check the Chrome Developer Tools, ,.,What could be wrong in how I measured these things?
I'm certain that PHP is loading fast but how come Chrome reports that it took more than 8 seconds?,I'm using localhost and my web server is fast and this is the only time I encountered this problem. All other AJAX calls are fast."
Accepted,"try this,for specific area try this",https://stackoverflow.com/questions/19628081/how-to-disable-full-keyboard-keys-using-javascript-or-jquery,"I want to disable full key boards keys using java-script or jQuery.
and 
is it possible to disable to keyboard using php script ? "
Accepted,"Thanks to Thomas for the nudge in the correct direction.  The solution to this was to create a custom typemap that uses a StringBuffer to get the result back.  I found the code in the , directory of the SWIG install.  I must have overlooked that before while I was searching.  ,I have attached the example code below, I am presently using the alternative approach suggested. However, the first approach of using the BYTE typemap wil require some changes in my Java code but might actually make more sense in the long run.,Thanks for the help, and now I get to see if I can accept my own answer...",https://stackoverflow.com/questions/2740068/how-can-i-make-swig-correctly-wrap-a-char-buffer-that-is-modified-in-c-as-a-jav,"I am trying to wrap some legacy code for use in Java and I was quite happy to see that Swig was able to handle the header file and it generate a great wrapper that almost works.  Now I am looking for the deep magic that will make it really work.,In C I have a function that looks like this ,This integer returned by this function is an error code in case it fails. The arguments are,So, you can see where this is going, the result is actually coming back via the third argument.  Also , is confusing since it may be the length of both buffers, they are always allocated as being the same size in calling code but given what , does I don't think that they need be the same.  To be safe both buffers should be the same size in practice, say 512 chars.,The C code generated for the binding is as follows:,It is correct for what it does; however, it misses the fact that , is not just an input, it is altered by the function and should be returned as an output.  It also does not know that the java Strings are really buffers and should be backed by a suitably sized array.,I think that Swig can do the right thing here, I just can't figure out from the documentation how to tell Swig what it needs to know.  Any typemap masers in the house?"
Accepted,"JavaScript can, in fact, be run on the server side.,Your solution here, though, would be to use AJAX to call a PHP script for pagination, as server side javascript doesn't make much sense for the issue.",https://stackoverflow.com/questions/15109465/is-it-possible-to-run-jquery-on-server-side,"I am working on web page scraping has AJAX pagination's implemented, Since website is developed in asp i.e. page with extension .aspx I have tried submitting pagination forms to get data from other pages than first page but did not get any success, take a look here code I have used ,, So my question is how can I click on pagination links from php i.e. is it possible to run jQuery or javascript on server side?,I know Node.js can be used to run javascript on server side, but don't know how to use it with Apache and PHP"
Accepted,"I implemented such a functionality on one website. I use double_metaphone() + levenstein() in PHP. I precalculate a double_metaphone() for each entry in the dabatase, which I lookup using a SELECT of the first x chars of the 'metaphoned' searched term.,Then I sort the returned result according to their levenstein distance. double_metaphone() is not part of any PHP library (last time I checked), so I borrowed a PHP implementation I found somewhere a long while ago on the net (site no longer on line). I should post it somewhere I suppose.,EDIT: The website is still in archive.org:
,or Google cache:
,which leads to many other useful links with source code for double_metaphone(), including one in Javascript on github: ,: Went through my old code, and here are roughly the steps of what I do, pseudo coded to keep it clear:,1) Precompute a double_metaphone() for every word in the database, i.e., $word='blahblah'; $soundslike=double_metaphone($word);,2) At lookup time, $word is fuzzy-searched against the database: $soundslike = double_metaphone($word),4) SELECT * FROM , WHERE , LIKE $soundlike (if you have levenstein stored as a procedure, ,: SELECT * FROM table WHERE levenstein(,,$soundlike) < mythreshold ORDER BY levenstein(,,$word) ASC LIMIT ... etc. ,It has worked well for me, although I can't use a stored procedure, since I have no control over the server and it's using MySQL 4.20 or something.",https://stackoverflow.com/questions/3290350/super-fuzzy-name-checking,I'm working on some stuff for an in-house CRM. The company's current frontend allows for lots of duplicates. I'm trying to stop end-users from putting in the same person because they searched for 'Bill Johnson' and not 'William Johnson.' So the user will put in some information about their new customer and we'll find the similar names (including fuzzy names) and match them against what is already in our database and ask if they meant those things... Does such a database or technology exist?
Accepted,"Your IV is different, a byte with value zero is different from a character , which would translate into a byte with value ,  in hexadecimals or 48 in decimals (if you presume ASCII or UTF-8 encoding).",https://stackoverflow.com/questions/19196728/aes-128-encryption-in-java-decryption-in-php,"I have been trying to decrypt a string using AES-128 CBC which was originally crypted using JAVA AES encryption. In java PKCS7 padding is used. And I have tried to encrypt and decrypt using similar PHP code. But I am getting different result.,My Java code ,And the equivalent PHP code I am using.,In Java,
Plain text = 123456,
Cipher text = tpyxISJ83dqEs3uw8bN/+w==,In  PHP  ,Plain text = 123456,
Cipher text = IErqfTCktrnmWndOpq3pnQ==,When I tried to decrpt the Java encrypted text ""tpyxISJ83dqEs3uw8bN/+w=="" using PHP decryption I am getting an empty array if I removed the padding . Without removing the padding I am getting  ""::::::::::"",I think there is some mistake with the IV bytes used in PHP and Java
Can anyone help me on this. I have tried many combinations . Still no result. I am very new to Java concepts.,I have modified my php class according to the comments given by owlstead. may be there is a better way. I am posting it here so that someone may find it helpful in future and your comments are welcome for further improvement."
Accepted,"There are a lot of variables. #1 , be faster, provided that your JavaScript isn't assembling the result piecemeal and assuming that the data is , smaller than the equivalent markup. If you're assembling the result piecemeal, or if the data isn't much smaller than the markup, it may well be slower. It also depends on the speed of the user's network connection vs. the speed of their CPU and browser (Chrome is fairly fast, IE7 is fairly slow), etc.,On the piecemeal thing: For instance, if you're loading a 200-row table, and you're building up the rows like this:,...then that's probably going to be fairly slow compared with how the browser would blaze through the equivalent markup.,If, however, you're doing it more like this:,...you're in better shape, because there you're getting maximum reuse out of the browser's ability to parse HTML quickly (which is, fundamentally, what browsers do, and what they're optimized for).,It can seem, on first glance, a bit counter-intuitive that building up a string and then handing it to the browser can be faster (even markedly faster) than building up the structure directly with DOM methods or jQuery. But the more you think about it, the more obvious it is (and yes, I , tested it) why that's the case. The DOM is an abstraction that the browser has to map to its internal structures, and each call you make to a DOM method crosses a boundary layer between JavaScript and the browser's DOM engine. In contrast, adding to an array is fast, , is fast (even string concat is fast on modern browsers). Handing the browser a complete string keeps trips between layers at a minimum and lets the browser build up its internal structures directly without worrying about their DOM equivalents (until/unless you ask for them later). The last time I tested this was a couple of years ago, and the results were dramatic. I should try it again with current browsers; no time today, though...",https://stackoverflow.com/questions/5282775/whats-faster-ajax-loading-json-or-ajax-loading-complete-output,"I wanted to see different views / opinions on this.,I've got Jquery invoking a function through ajax.  It loads data two ways:,I'd assume #1 is faster since it's loading a basic JSON array then uses JS to parse it and append to html.,Opinions?,Thanks!"
Accepted,"Backbone is based on a REST API: when saving/updating a model to the server, Backbone will send it serialized as JSON in the request body with a , our , request. From ,This means that server-side you have to,Something like this should get you started,Check this page for a more thorough implementation of a REST API in PHP ",https://stackoverflow.com/questions/10930789/insert-backbone-js-model-into-mysql-database,"I have a backbone.js model with some defaults and an url:,Then I have an instance of this model and I proceed to save it:,Now I want to save this model into a MySQL database using a PHP script ""save.php"", it goes like this:,I have tried reading many tutorials but I cannot get this simple model save to work. Why is my code not working? Any ideas on how can this be solved?,Thanks,In the php script, the correct way to obtain the information from the sent JSON object is as follows:,And to store in in the database: ,In this way one row will be inserted in the table ""boxes"" with the information of each one of the attributes of the backbone model Box.
The server request method in this case is POST and the id in the table ""boxes"" is set to auto-increment."
Accepted,"In the code as shown, both the functions have C++ language linkage, and everything is fine. You're not passing a template function, you're passing a regular function ,.,Once any template is instantiated, it's not really a template any more, much like instantiating a class gives you an ,, and not another class.,There is something missing though - for linking a C program, you need to import the interface as , , use that linkage for any function pointers you pass to it. Otherwise the C and C++ sides may disagree on the calling convention to use, and everything will go horribly wrong.,Since the standard explicitly says,we need some workaround. As usual, your C callback takes an argument, so there's nothing stopping you from switching calling conventions in a C-linkage trampoline function:,where , will be a normal C++-linkage function, including a function template instantiation (or just a , or whatever).",https://stackoverflow.com/questions/61501475/is-it-allowed-to-pass-a-pointer-to-a-template-function-to-c-library-as-a-callb,"Consider the following code:,If call_function() would be an interface of some C library (which is linked dynamically to my program), is it OK to pass a pointer to some specific instance of a template function? Are there any differences between pointers to (a instantiation of) a template function and regular functions?"
Undetermined,"There should be another lineEnd added after this:,Also make sure you add the end of the multipart boundary (the line that starts with '--') In your case, add this:",https://stackoverflow.com/questions/11162898/how-to-send-parameters-with-file-in-android,"I am uploading image in android. Currently my code only uploads file but I also want to send some parameter. I am trying following,and on the server side I am using php. here is how I am trying to get that parameter,But my current code does upload file but it does not send parameters. How can I send parameters and how can I get them on server side?,Currently, the image is saved in , directory which is mentioned in , variable. What I want is to save that image in user's directory and that directory is named as user id. But unfortunately I am not getting userid on server side. How can I send userid to server along with file?"
Accepted,"I found my own answer reading further the GDB capabilities and stack overflow questions concerning ,.
The , is the easiest.
The other path was hard, but I'm glad I managed to do this. There is lots of room for improvements.,I simply defined a gdb command as follows:,Using it in gdb:,
,Edit 2020-april-26: , Code is left there , since I won't maintain 2 codebases.,versions:,Github repo: ,Feel free to adopt the loading method of your choice (auto, or not, or IDE plugin, whatever),some (light tests):,gpr file:,main.cpp,#include  // i am using the standalone json.hpp from the repo release
    #include ,outputs:
,Edit 2019-march-24 : add precision given by ,Edit 2020-april-18 : after a long night of struggling with python/gdb/stl I had something working by the ways of the GDB documentation for python pretty printers. Please forgive any mistakes or misconceptions, I banged my head a whole night on this and everything is flurry-blurry now.,Edit 2020-april-18 (2): rb tree node and tree_size could be traversed in a more ""in-memory"" way (see above),Edit 2020-april-26: add warning concerning the GDB python pretty printer.",https://stackoverflow.com/questions/55316620/c-debug-print-custom-type-with-gdb-the-case-of-nlohmann-json-library,"I'm working on a project using ,.,I tried to use this , since it provides helpers to explore standard C++ library structures that nlohmann's JSON lib is using.
But I don't find it convenient.,Here is a simple use case:,What I would like to have in GDB:,Current behavior"
Accepted,"As expected when noone was really able to answer my question directly, my fault was not obvious. I recognized today with a freind, that the request I actually send is different from what I wrote in the code.
With some more searching I found out that my webpack.config was somehow misconfigured and published the code in the wrong directory. But since there was already an ""older"" js-file the page looked correct but didn't have the changes of my API-Call.,TL;DR Pay attention that everything lies where you need it and then the code above is correct :-)",https://stackoverflow.com/questions/48240949/post-request-works-with-postman-but-not-with-axios-or-fetch,"I've got a problem that I've been working on now for a few days now and can't find the solution. I created an API with Lumen and a frontend with ReactJS. This all works fine with a GET request, but it fails when I send a POST request. For some strange reasons the requests works when I send it with Postman.
Now some Code!,First of all the JS-Script that sends the request:,My database has three models. Event, Category and User:
Category.id<---1:n--->Event.category_id||Event.updated_by<---n:1--->User.id,Now the EventController:,And the EventModel:,Like I said is everything working as expected, when I use Postman, to send the POST-Request. But with my fetch()-function I get a 200-response, but in the database there is only ""created_at"" and ""updated_at"" filled and the rest is just an empty string. The Log-statment in the EventController shows, that is seems as the Request-object is empty. But looking in the Firefox-developer tools I see that the data is send in the request body.,So any ideas? I can also send other code-files if needed.,Thank you all already for your help
Marco, As it was not obvious, the API and Frontend are both running on the same host; localhost:8000 so it's not a CORS-issue. I had first running the Frontend on localhost:8080 but I eliminated that by running both on the same server."
Accepted,"A commonly used exchange format for JavaScript is ,, using ,. A PHP file like this:,then returns a JavaScript object literal like this:,You can directly echo it into a JavaScript variable on your page, e.g.:,...or request it via Ajax (e.g. using ,).,If you just need to output a string to an attribute on a tag, use ,. Assuming a variable:,...you can output it like this:,...or if you use short tags:",https://stackoverflow.com/questions/2766041/whats-the-best-way-to-pass-a-php-variable-to-javascript,"I currently echo certain variables in hidden input fields and read them out with Javascript whenever I need them.,Me and a colleague are now thinking of generating an extra Javascript file with PHP which only contains all variables for Javascript. This way the variables already exist and there is no extra code in the HTML.,What are good ways to pass variables from PHP to Javascript? And how does our solution sound?"
Accepted,"If forking and building script working fine when is executed under your user account in the terminal then a problem is most likely with environment variables and files permissions.  ,1 ,. To change home dir you could execute  , just before running build script or use in PHP , to amend 'GRADLE_USER_HOME'.,If you change GRADLE_USER_HOME  then also move files like gradle.properties which may be important for you build. ,2 Check if gradle command can be executed by www-data , ,you can use in terminal , to print environment variables. For example for www-data user that would be , and for your user just ,you can save them to files and compare,Then use PHP method , - to set any missing variables related to Gradle and the project you build. ",https://stackoverflow.com/questions/38519643/failed-to-load-native-library-libnative-platform-so-for-linux-amd64,"First off, if this belongs on Ask Ubuntu, my apologies...I'm not really sure what forum this falls under.,I'm attempting to fork and build an Android project from Github using PHP and a shell script. Basically, I'm printing out some output from a shell script I wrote into a website. When you visit the page, and press some buttons, the project is forked and built using Gradle. The PHP code runs the shell script, and then prints the output into the browser as the command runs.,However, I am getting this error as the output of my script:,The script is simply running , for now but I intend to change that later...right now, I'm just working on building the root project and outputting the result.,Here's the output if I run the command with the , flag:,And here is the output with the , flag:,I did some research on this matter and found ,, but it didn't give me any leads as to how to fix the issue.,Further research led me to a ,, which appears to be for NixOS, but I'm running Ubuntu 12.04 CLI. Also, I should mention I'm running Gradle 2.10 as well.,I also tried running , as well, but the outcome was the same.,Now, as far as what user is calling the script, I believe it is www-data as I'm running an Apache2 web server and PHP. ,Here's a little snippet of the PHP code that runs the script, which I found on another ,:,I'm at a loss now, so I'm hoping someone can lead me to a new, reliable answer."
Accepted,"Assuming that what you mean is that you want an alert to pop up from the browser when the server reaches a certain point in your php code, the answer is ""no"".,While the server is running your php code, there's no contact with the browser (until the response starts coming back).  There are situations in which a server may be streaming content back to the browser, and in such a case it'd be possible to have some agreed-upon convention for the server to mark the content stream with messages to be alerted out immediately, but I don't think that's what you're asking about here.",https://stackoverflow.com/questions/4246318/can-i-add-a-javascript-alert-inside-a-php-function-if-yes-how,"Can I add a javascript alert inside a PHP function? If yes, how?"
Accepted,"I think you can achieve pretty much the same effect if you create Builder as a top level class ( for that's exactly what it is in Java )  and create a factory method to receive the builder in order to keep the constructor private ( which in turn would let you return subclasses instances if needed). ,The point is to let the builder perform the steps needed to create the object.,So ( without knowing much about C# you could try something like this ) ,The whole point of having Builder as an static inner class of property is to create a high coupling among the two ( as if they where one ). That's why build method in Builder calls the private ""Property"" constructor.,Probably in C# you could use an alternate artifact to create the same coupling.",https://stackoverflow.com/questions/512651/how-is-javas-notion-of-static-different-from-cs,"I am reading Josh Bloch's book , and he suggests using a builder design pattern when building objects that have large amounts of members. From what I can see it isn't the vanilla design pattern but looks like his variation. I rather like the look of it and was trying to use it in a C# web application that I am writting. This is the code written in Java and works perfectly,When I put this into what I think is the C# equivalent,Then I get compiler warnings. Most of them ""cannot declare instance members in a static class"".,So my question is firstly what have I missed? If I have missed something, can I do it in the manner Josh Bloch recommends but in C#, and lastly, and this one important too, is this thread-safe?"
Undetermined,"Here's , using the new iframe api that works,FYI: If you're just using an iframe pure HTML embed you can put , for the start time,For the API you can start a video at a certain time like this.
Use the , parameter,You can only call , after the player has started playing or it doesn't do anything. Check the , callback :,Add this callback function,The , has buttons at the bottom to seek to 30, 60, 90 seconds. It has been tested with all browsers that rhyme with 'rome'. When it opens it puts up an alert box for the , function type. If this shows 'undefined' you have a problem.",https://stackoverflow.com/questions/9813774/youtube-iframe-api-seekto-not-a-method,"I know that .seekTo() works in the Javascript API, but I'm not able to get it working with the , API. Is this method supported? The code below successfully embeds the video and successfully console.log-s the player object. I get the error ""player.seekTo is not a function"" in the console.,Any ideas? Thanks!"
Accepted,"This will do it:,If you plan to use this multiple times than you can consider doing this:",https://stackoverflow.com/questions/3865896/translating-php-s-preg-match-all-to-python,"Can I have a translation of PHP?????s , in Python, please? (ie) I need to get the links present in the plain text argument in an array."
Accepted,"Depending on which version of Python you are interested in, 2.x or 3.x,
read through the , chapter for , or ,. You are interested only in , Python, so section the , will provide you with complete explanation how to implement what you need in order to be able to call your functions implemented in C++ from Python script.,Certainly, there are numerous libraries and generators which allow you to wrap C/C++ APIs for Python (e.g. , or ,), but your case sounds simple enough, that for the purpose of learning it is IMO better to get familiar with Python C API. Even if you use these tools, you will frequently have to get down to Python C API anyway or at least understand it.",https://stackoverflow.com/questions/13498445/calling-a-c-functions-through-a-python-script,"I have a scenario where I have some functions in C++ classes and I want to be able to call them using a python script. Let's say I have a function,I want to be able to call it trough a custom Python call and pass arguments to it, for example using,As a .py file I want it to call the greet function and pass ""Hello"" as an argument.,I know it's a subject that has been throughly discussed, and I've done a share of research on embedding python in C++, I've managed to read values from a python script using the standard Python/C API and run a function in Python from C++ and pass argument to it, but I can't seem to get my head around how to achieve this specific outcome.,I've had a look at ctypes and various wrappin libraries such as boost:python or swig, but I can't seem to understand to which degree they could help me achieve want I want."
